candidate,is_guest
Adam Mirek,yes
Agnieszkę Kaczorowską,yes
Alicja Długołęcka,yes
Ama Dablam,yes
Arkuszyńska Gosia,yes
Arlety Bojke,yes
Barbara Bursztynowicz,yes
Bartosz Majewski,yes
Biznes Klasie,yes
Chińskie Wojsko,yes
Dariusz Kamys,yes
Działa Izraelska,yes
Dziś  Ponad,yes
Długołęcka Gosia,yes
Edyta Bartosiewicz,yes
Europejską  Odpowiada,yes
Ewa Kasprzyk,yes
Garg Gosia,yes
Gawkowski  Gabinet,yes
Giełzak  Ziemkiewicz,yes
Gosia Ohme,yes
Idzie Polskie,yes
Iwona Pavlović,yes
Jakim Kierunku,yes
Jerzy Brzęczek,yes
Joanna Kołaczkowska,yes
Joanny Kołaczkowskiej,yes
Joannę Kołaczkowską,yes
Kafka Odc,yes
Karolina Gilon,yes
Katarzyna Miller,yes
Koniec Bodnara,yes
Kołaczkowskiej  Fani,yes
Kołaczkowskiej  Jej,yes
Kołaczkowskiej  Wzruszające,yes
Kołaczkowskiej  Zrobiła,yes
Krzysztof Bosak,yes
Latała Gosia,yes
Lech Kaniuk,yes
Lepszy Od,yes
Leszek Żebrowski,yes
Ludzie Są,yes
Marcin Majewski,yes
Marzeny Kipiel,yes
Maya Ori,yes
Miller Gosia,yes
Młodych Ludzi,yes
Najbrudniejsze Kraje,yes
Najgorszy Moment,yes
Piotr Latała,yes
Piotr Pająk,yes
Piotr Polo,yes
Piotrka Pająka,yes
Pogrzeb Joanny,yes
Polacy Na,yes
Powstaniu Warszawskim,yes
Promują Ideologie,yes
Przetrwał Do,yes
Rada Dla,yes
Reagują Na,yes
Reakcja Agnieszki,yes
Roman Kołtoń,yes
Serialowa Mariolka,yes
Się Rozmawiać,yes
Sobie Więcej,yes
Tadeusz Oleszczuk,yes
Tatiana Mindewicz,yes
Trump Wygrał,yes
Uzbrojeni Strasznie,yes
Wygląda Korea,yes
Wygląda Życie,yes
Włodzimierz Czarzasty,yes
Włodzisław Duch,yes
Zarabiać Więcej,yes
Zawinęło Mnie,yes
Zbyszek Nowak,yes
